ticker,strat,signal,entry,ret,months,outcome,missed_ret
AAPL,③조기진입,1982-08,1982-08-27,1.0666620311153299,11.0,돌파 성공,
AAPL,①원서,1982-08,1982-08-31,0.9375031343152076,11.0,진입,
AAPL,②확정후,1982-08,1982-12-10,0.19231103933682392,8.0,진입,
AAPL,③조기진입,1984-04,1984-04-19,-0.09734631033765695,3.0,돌파 성공,
AAPL,①원서,1984-04,1984-04-30,-0.187253048443626,3.0,진입,
AAPL,②확정후,1984-04,,,,눌림 없음(놓침),-0.187253048443626
AAPL,③조기진입,1984-08,1984-08-03,-0.08219474559308448,1.0,돌파 성공,
AAPL,①원서,1984-08,1984-08-31,-0.051891676462105685,1.0,진입,
AAPL,②확정후,1984-08,1984-09-14,-0.09865647780315001,1.0,진입,
AAPL,③조기진입,1984-12,1984-12-07,-0.09174513600394918,2.0,돌파 성공,
AAPL,①원서,1984-12,1984-12-31,-0.15021306392307454,2.0,진입,
AAPL,②확정후,1984-12,1985-02-01,-0.13537036545563974,1.0,진입,
AAPL,③조기진입,1985-11,1985-11-08,2.778897899271701,23.0,돌파 성공,
AAPL,①원서,1985-11,1985-11-30,2.8493087443631957,23.0,진입,
AAPL,②확정후,1985-11,1986-02-14,2.261784436347807,21.0,진입,
AAPL,③조기진입,1987-12,1987-12-24,-0.026391250166511004,1.0,돌파 성공,
AAPL,①원서,1987-12,1987-12-31,-0.011903842062152115,1.0,진입,
AAPL,②확정후,1987-12,1988-01-22,0.057327005787189966,1.0,진입,
AAPL,③조기진입,1988-02,1988-02-29,-0.06976814768208184,1.0,월말 진입,
AAPL,①원서,1988-02,1988-02-29,-0.06976814768208184,1.0,진입,
AAPL,②확정후,1988-02,,,,눌림 없음(놓침),-0.06976814768208184
AAPL,③조기진입,1988-06,1988-06-03,-0.07092622808449356,2.0,돌파 성공,
AAPL,①원서,1988-06,1988-06-30,-0.136211114550006,2.0,진입,
AAPL,②확정후,1988-06,1988-07-15,-0.1122183401360125,2.0,진입,
AAPL,③조기진입,1988-09,1988-09-16,-0.08579908392926183,1.0,돌파 성공,
AAPL,①원서,1988-09,1988-09-30,-0.10693777500914248,1.0,진입,
AAPL,②확정후,1988-09,,,,눌림 없음(놓침),-0.10693777500914248
AAPL,③조기진입,1989-01,1989-01-06,-0.11436769156699755,0.0,월말 실패 손절,
AAPL,③조기진입,1989-04,1989-04-21,-0.02803805656538494,0.0,월말 실패 손절,
AAPL,③조기진입,1989-05,1989-05-05,-0.14461978636694417,7.0,돌파 성공,
AAPL,①원서,1989-05,1989-05-31,-0.25820502750292307,7.0,진입,
AAPL,②확정후,1989-05,1989-06-16,-0.20402839045858046,7.0,진입,
AAPL,③조기진입,1990-03,1990-03-16,-0.02173822099264011,1.0,돌파 성공,
AAPL,①원서,1990-03,1990-03-31,-0.02173822099264011,1.0,진입,
AAPL,②확정후,1990-03,1990-04-20,-0.02173822099264011,1.0,진입,
AAPL,③조기진입,1990-05,1990-05-11,-0.12692519482385056,3.0,돌파 성공,
AAPL,①원서,1990-05,1990-05-31,-0.10032149415888025,3.0,진입,
AAPL,②확정후,1990-05,1990-06-01,-0.0892801565024206,3.0,진입,
AAPL,③조기진입,1990-12,1990-12-07,-0.018969377232028184,6.0,돌파 성공,
AAPL,①원서,1990-12,1990-12-31,-0.03037862927979551,6.0,진입,
AAPL,②확정후,1990-12,,,,눌림 없음(놓침),-0.03037862927979551
AAPL,③조기진입,1991-08,1991-08-02,-0.007766416990295344,1.0,돌파 성공,
AAPL,①원서,1991-08,1991-08-31,-0.06603782001476555,1.0,진입,
AAPL,②확정후,1991-08,1991-09-06,-0.038834801574913924,1.0,진입,
AAPL,③조기진입,1991-10,1991-10-18,-0.06363631176298956,0.0,월말 실패 손절,
AAPL,③조기진입,1991-11,1991-11-08,-0.044655531177901664,0.0,월말 실패 손절,
AAPL,③조기진입,1991-12,1991-12-27,-0.12388168440121505,6.0,돌파 성공,
AAPL,①원서,1991-12,1991-12-31,-0.14525050766773773,6.0,진입,
AAPL,②확정후,1991-12,1992-03-06,-0.24849241822776336,4.0,진입,
AAPL,③조기진입,1992-11,1992-11-06,-0.07225007001725414,4.0,돌파 성공,
AAPL,①원서,1992-11,1992-11-30,-0.10239551457174745,4.0,진입,
AAPL,②확정후,1992-11,1993-01-01,-0.13619607367549902,3.0,진입,
AAPL,③조기진입,1993-05,1993-05-07,-0.27702955974510723,1.0,돌파 성공,
AAPL,①원서,1993-05,1993-05-31,-0.30242734297356266,1.0,진입,
AAPL,②확정후,1993-05,1993-06-04,-0.28018117045013724,1.0,진입,
AAPL,③조기진입,1994-02,1994-02-04,-0.10125974996096632,2.0,돌파 성공,
AAPL,①원서,1994-02,1994-02-28,-0.17808282008843634,2.0,진입,
AAPL,②확정후,1994-02,1994-03-18,-0.17525916230894145,2.0,진입,
AAPL,③조기진입,1994-05,1994-05-06,-0.09120106243139592,0.0,월말 실패 손절,
AAPL,③조기진입,1994-07,1994-07-22,0.14761236464237792,8.0,돌파 성공,
AAPL,①원서,1994-07,1994-07-31,0.056060097024276834,8.0,진입,
AAPL,②확정후,1994-07,1994-11-18,-0.11632841147123252,5.0,진입,
AAPL,③조기진입,1995-04,1995-04-13,-0.02077868763295876,5.0,돌파 성공,
AAPL,①원서,1995-04,1995-04-30,-0.02077868763295876,5.0,진입,
AAPL,②확정후,1995-04,1995-05-05,-0.036520901771955994,5.0,진입,
AAPL,③조기진입,1995-11,1995-11-24,-0.05132108353336373,0.0,월말 실패 손절,
AAPL,③조기진입,1996-10,1996-10-18,-0.13411783964993185,0.0,월말 실패 손절,
AAPL,③조기진입,1996-11,1996-11-01,-0.13917534414624322,1.0,돌파 성공,
AAPL,①원서,1996-11,1996-11-30,-0.13471540383099445,1.0,진입,
AAPL,②확정후,1996-11,1996-12-06,-0.1691526973761701,1.0,진입,
AAPL,③조기진입,1997-08,1997-08-01,-0.11237666304054983,2.0,돌파 성공,
AAPL,①원서,1997-08,1997-08-31,-0.216951045593627,2.0,진입,
AAPL,②확정후,1997-08,1997-09-19,-0.2236469896990153,2.0,진입,
AAPL,③조기진입,1997-11,1997-11-07,-0.10126522886393974,0.0,월말 실패 손절,
AAPL,③조기진입,1998-01,1998-01-09,3.618564779939681,28.0,돌파 성공,
AAPL,①원서,1998-01,1998-01-31,3.587043689378498,28.0,진입,
AAPL,②확정후,1998-01,1998-05-22,2.0134510425560648,25.0,진입,
AAPL,③조기진입,2000-06,2000-06-23,-0.016928532669524987,1.0,돌파 성공,
AAPL,①원서,2000-06,2000-06-30,-0.02983319255149952,1.0,진입,
AAPL,②확정후,2000-06,,,,눌림 없음(놓침),-0.02983319255149952
AAPL,③조기진입,2000-08,2000-08-25,-0.5467550907216128,1.0,돌파 성공,
AAPL,①원서,2000-08,2000-08-31,-0.5774364722998586,1.0,진입,
AAPL,②확정후,2000-08,2000-09-15,-0.533805230564122,1.0,진입,
AAPL,③조기진입,2001-05,2001-05-04,-0.22524215161159278,0.0,월말 실패 손절,
AAPL,③조기진입,2001-06,2001-06-01,-0.10052671007631009,1.0,돌파 성공,
AAPL,①원서,2001-06,2001-06-30,-0.1918282445787297,1.0,진입,
AAPL,②확정후,2001-06,,,,눌림 없음(놓침),-0.1918282445787297
AAPL,③조기진입,2001-11,2001-11-30,-0.16807338611794176,7.0,월말 진입,
AAPL,①원서,2001-11,2001-11-30,-0.16807338611794176,7.0,진입,
AAPL,②확정후,2001-11,2001-12-14,-0.13094457491582778,7.0,진입,
AAPL,③조기진입,2003-05,2003-05-09,5.532233687304359,36.0,돌파 성공,
AAPL,①원서,2003-05,2003-05-31,5.659603673632701,36.0,진입,
AAPL,②확정후,2003-05,2003-08-08,5.08656355041308,34.0,진입,
AAPL,③조기진입,2006-07,2006-07-31,0.9917598655060664,18.0,월말 진입,
AAPL,①원서,2006-07,2006-07-31,0.9917598655060664,18.0,진입,
AAPL,②확정후,2006-07,2006-10-06,0.8237682905231192,16.0,진입,
AAPL,③조기진입,2008-04,2008-04-18,-0.012977909053163983,3.0,돌파 성공,
AAPL,①원서,2008-04,2008-04-30,-0.08623134351954775,3.0,진입,
AAPL,②확정후,2008-04,,,,눌림 없음(놓침),-0.08623134351954775
AAPL,③조기진입,2008-08,2008-08-08,-0.32963738805511933,1.0,돌파 성공,
AAPL,①원서,2008-08,2008-08-31,-0.3295582717638077,1.0,진입,
AAPL,②확정후,2008-08,,,,눌림 없음(놓침),-0.3295582717638077
AAPL,③조기진입,2009-04,2009-04-03,4.090767494376826,43.0,돌파 성공,
AAPL,①원서,2009-04,2009-04-30,3.6926621437915967,43.0,진입,
AAPL,②확정후,2009-04,2009-05-15,3.8233756270428403,43.0,진입,
AAPL,③조기진입,2013-08,2013-08-16,0.6342528599537094,24.0,돌파 성공,
AAPL,①원서,2013-08,2013-08-31,0.6849351425677133,24.0,진입,
AAPL,②확정후,2013-08,2013-09-27,0.7005377087292426,24.0,진입,
AAPL,③조기진입,2015-11,2015-11-06,-0.022798352519627474,0.0,월말 실패 손절,
AAPL,③조기진입,2016-04,2016-04-01,-0.14774078229465437,0.0,월말 실패 손절,
AAPL,③조기진입,2016-07,2016-07-31,0.7860502835602945,28.0,월말 진입,
AAPL,①원서,2016-07,2016-07-31,0.7860502835602945,28.0,진입,
AAPL,②확정후,2016-07,2016-09-02,0.7183837442283216,27.0,진입,
AAPL,③조기진입,2019-03,2019-03-22,-0.005757808882578042,0.0,월말 실패 손절,
AAPL,③조기진입,2019-04,2019-04-05,-0.10789747715672826,1.0,돌파 성공,
AAPL,①원서,2019-04,2019-04-30,-0.12421307266320392,1.0,진입,
AAPL,②확정후,2019-04,2019-05-10,-0.11213109244323294,1.0,진입,
AAPL,③조기진입,2019-06,2019-06-07,2.3928376026448728,34.0,돌파 성공,
AAPL,①원서,2019-06,2019-06-30,2.259640431214155,34.0,진입,
AAPL,②확정후,2019-06,2019-07-19,2.184500636475878,34.0,진입,
AAPL,③조기진입,2022-07,2022-07-31,-0.031207943578742126,1.0,월말 진입,
AAPL,①원서,2022-07,2022-07-31,-0.031207943578742126,1.0,진입,
AAPL,②확정후,2022-07,2022-08-26,-0.03911495418308053,1.0,진입,
AAPL,③조기진입,2023-02,2023-02-03,0.11002314894862675,8.0,돌파 성공,
AAPL,①원서,2023-02,2023-02-28,0.16163840760668657,8.0,진입,
AAPL,②확정후,2023-02,2023-03-10,0.1531119889975281,8.0,진입,
AAPL,③조기진입,2023-11,2023-11-03,0.025865307447802577,3.0,돌파 성공,
AAPL,①원서,2023-11,2023-11-30,-0.04721959139493981,3.0,진입,
AAPL,②확정후,2023-11,2023-12-22,-0.06518255999147349,3.0,진입,
AAPL,③조기진입,2024-05,2024-05-03,0.21702950812170663,10.0,돌파 성공,
AAPL,①원서,2024-05,2024-05-31,0.15930589650320925,10.0,진입,
AAPL,②확정후,2024-05,2024-07-26,0.02255714926834096,9.0,진입,
AAPL,③조기진입,2025-08,,,,보유중,
AAPL,①원서,2025-08,,,,보유중,
AAPL,②확정후,2025-08,,,,보유중,
ABNB,③조기진입,2022-02,2022-02-11,-0.09031401787293225,0.0,월말 실패 손절,
