ticker,month,sig,ret,closed,months,kim,mkt,rev_g,op_up
5802.T,2010-03,돌파,-0.0619543744917253,True,2,True,False,,
5802.T,2010-11,돌파,-0.0656888391569527,True,9,True,False,,
5802.T,2011-03,지지,-0.1192122449775736,True,5,True,False,,
5802.T,2011-04,지지,-0.0956406266777609,True,4,True,False,,
5802.T,2011-05,지지,-0.1327742377957776,True,3,True,False,,
5802.T,2011-06,지지,-0.1312881063700152,True,2,True,False,,
5802.T,2012-02,돌파,-0.1315140867536709,True,3,True,False,,
5802.T,2012-06,돌파,-0.0518065703556426,True,1,True,False,,
5802.T,2012-12,돌파,0.4627789289666451,True,16,True,False,,
5802.T,2014-03,지지,-0.0813803132548786,True,1,True,False,,
5802.T,2014-07,돌파,-0.002946111695506,True,1,True,False,,
5802.T,2014-09,돌파,-0.0863931448716182,True,1,True,False,,
5802.T,2014-11,돌파,0.0922396090960395,True,9,True,False,,
5802.T,2014-12,지지,0.1142574944165935,True,8,True,False,,
5802.T,2015-01,지지,0.1018767883027738,True,7,True,False,,
5802.T,2015-02,지지,0.0869580440162431,True,6,True,False,,
5802.T,2015-04,지지,-0.0182569952866524,True,4,True,False,,
5802.T,2015-11,돌파,-0.1075913203344571,True,2,True,False,,
5802.T,2015-12,지지,-0.0930973962210125,True,1,True,False,,
5802.T,2016-05,돌파,-0.1459060113840294,True,1,True,False,,
5802.T,2016-08,돌파,-0.0657096329823765,True,1,True,False,,
5802.T,2016-10,돌파,0.121617282407118,True,10,True,False,,
5802.T,2016-11,지지,0.0880212730735048,True,9,True,False,,
5802.T,2017-09,돌파,-0.0761697735015486,True,5,True,False,,
5802.T,2018-09,지지,-0.1346800124888649,True,1,True,False,,
5802.T,2019-10,돌파,-0.137654643060509,True,4,True,False,,
5802.T,2020-11,돌파,0.243217271494545,True,9,True,False,,
5802.T,2022-06,돌파,0.0950636682030583,True,16,True,False,,
5802.T,2022-07,지지,0.1140145878353375,True,15,True,False,,
5802.T,2022-08,지지,0.02433725633705,True,14,True,False,,
5802.T,2022-10,지지,0.0388872649066209,True,12,True,False,,
5802.T,2022-12,지지,0.073068039062879,True,10,True,False,,
5802.T,2023-01,지지,0.0385532285180687,True,9,True,False,,
5802.T,2023-11,돌파,0.4273229777754195,True,16,True,False,,
5802.T,2023-12,지지,0.4579284469011424,True,15,True,False,,
5802.T,2024-08,지지,0.0634025381825522,True,7,True,False,,
5802.T,2024-09,지지,0.0991217054211783,True,6,True,False,,
5802.T,2024-10,지지,0.0589858609292444,True,5,True,False,,
5802.T,2024-11,지지,-0.1257679796974686,True,4,True,False,,
5802.T,2025-05,돌파,1.9938655515766823,True,15,True,False,,
5802.T,2026-07,지지,0.0169413919413918,True,1,True,False,,
A,2010-05,지지,-0.1214463902523269,True,1,False,True,0.04030874785591765,True
A,2010-09,돌파,0.2634104019465242,True,10,False,True,0.16498625114573784,True
A,2012-01,돌파,-0.0939881559328786,True,6,False,True,0.22182080924855496,True
A,2012-04,지지,-0.089811311214119,True,3,False,True,0.07636603028308087,True
A,2012-05,지지,-0.0557849330788698,True,2,False,True,0.07636603028308087,True
A,2012-06,지지,-0.0242101072914003,True,1,False,True,0.03339296362552169,True
A,2012-12,돌파,0.3738005046171873,True,22,False,True,0.018923713778829176,False
A,2014-04,지지,0.027670956207271,True,6,False,True,-0.0005952380952380931,True
A,2014-05,지지,-0.0246686330490549,True,5,False,True,-0.0005952380952380931,True
A,2014-07,지지,-0.0121490493689675,True,3,False,True,-0.0005773672055426893,False
A,2014-08,지지,-0.0306410941920124,True,2,False,True,-0.0005773672055426893,False
A,2014-09,지지,-0.029835235190308,True,1,False,True,0.0690072639225181,False
A,2014-11,돌파,-0.1141203487428635,True,2,False,True,0.0690072639225181,False
A,2014-12,지지,-0.0751714883266784,True,1,False,True,0.0690072639225181,False
A,2015-02,돌파,-0.0814541048913549,True,4,False,True,,
A,2015-03,지지,-0.0691561651227266,True,3,False,True,-0.3889219773674807,False
A,2015-07,돌파,-0.1133088410529663,True,1,False,True,-0.44367417677642984,False
A,2015-11,돌파,-0.0972513288228464,True,2,False,True,-0.42582106455266133,False
A,2016-03,돌파,0.6865443320006663,True,25,False,True,0.0019493177387914784,True
A,2016-11,지지,0.5159868182717029,True,17,False,True,0.029585798816567976,True
A,2016-12,지지,0.4591876755645812,True,16,False,True,0.029585798816567976,True
A,2018-02,지지,-0.0394121641054225,True,2,False,True,,
A,2018-03,지지,-0.0151458766426956,True,1,False,True,0.13495782567947523,True
A,2018-08,돌파,-0.038685638151874,True,2,False,True,0.07989228007181337,True
A,2018-09,지지,-0.0795694866475845,True,1,False,True,0.07989228007181337,True
A,2018-11,돌파,-0.0690638057645026,True,6,False,True,0.07989228007181337,True
A,2018-12,지지,-0.0040458886910463,True,5,False,True,0.07989228007181337,True
A,2019-01,지지,-0.1165406848147514,True,4,False,True,0.07989228007181337,True
A,2019-06,돌파,-0.0683969156792838,True,1,False,True,0.026533996683250516,True
A,2019-09,돌파,-0.0610219118161774,True,6,False,True,0.05901911886949285,False
A,2019-10,지지,-0.0501137651676758,True,5,False,True,0.05901911886949285,False
